model_name,mae,rmse,r2,mape
Gradient_Boosting,1334.1490650596286,1895.8763830818857,0.9144122553998184,15.758423627183426
Random_Forest,1423.0062825374207,2044.7104284646944,0.9004468118204837,16.820323290958214
Ridge_Regression,1428.7145649950312,2068.1618956693474,0.8981500984662135,17.039171484471073
Lasso_Regression,1428.8247441278143,2068.1765606859353,0.8981486540572491,17.040108404410883
Linear_Regression,1428.8939180342559,2068.18929687263,0.8981473996172018,17.041458549668054
SVR,3670.350597684593,6632.867595029328,-0.047596900648015694,30.680639724017666
